126.45,45,29,148
133.93,30,101,189
105.41,35,117,211
110.01,19,115,242
77.46,68,23,259
80.44,123,18,289
53.75,50,17,300
57.2,34,88,341
60.39,18,9,365
2.11,44,22,409
-24.26,75,19,432
-20.3,58,21,475
-17.67,42,22,507
-15.03,26,19,559
-44.12,26,19,585
-71.83,86,26,600
-99.93,82,78,620
-97.47,64,30,690
-96.76,47,23,721
-125.49,64,22,742
-124.18,43,25,782
-122.52,29,27,820
-150.72,28,99,839
-177.7,49,101,867
154.32,66,38,899
156.83,50,100,935
161.01,34,101,964
164.16,18,98,998
134.42,19,205,1020
107.42,135,113,1035
78.69,77,23,1056
81.17,62,21,1093
81.97,184,20,1126
53.17,45,68,1148
53.17,45,68,1148
